GATE_UW_UI: -302.8649,-1705.867,-192.5101,-1784.364,0,0
UI_B03: -435.3852,-640.5526,-263.6839,-491.103,0,1
UI_E01: -439.3852,-814.5526,-466.6844,-671.1029,0,1
UI_F01: -692.3848,-1221.554,-541.6843,-1178.104,0,1
UI_C02: -444.3852,-1377.554,-252.6839,-1283.104,0,1
UI_I02: -378.3848,-1058.55,-326.6841,-970.1029,0,1
UI_A10: -224.3852,-1261.554,-117.6845,-1377.104,0,1
UI_A09: -236.385,-1372.554,-123.6845,-1504.104,0,1
UI_B01: -86.38521,-1434.554,48.31594,-1595.104,0,1
UI_A08: -76.38535,-1602.554,52.31594,-1729.104,0,1
UI_A19: -220.9327,-1601.722,-61.91743,-1730.624,0,1
UI_S01: 15.61845,-1574.78,160.0919,-1726.759,0,0
UI_B05: 351.6152,-1383.554,52.31593,-1381.104,1,0
UI_D06: 668.6147,-1454.554,280.3159,-1470.104,1,4
UI_A18: 849.6147,-1280.554,460.3159,-1266.104,1,4
UI_F03: 999.6152,-988.5515,591.3157,-1271.104,1,4
UI_B04: 1005.615,-523.5531,592.3157,-756.1029,1,4
UI_S03: 1005.826,-344.8201,578.3847,-423.8873,2,0
UI_A13: 990.6152,-344.5527,584.3157,-549.1029,1,4
UI_E04: 330.6148,-812.5526,62.31596,-669.1029,0,0
UI_D05: 1240.615,-399.5527,745.3157,-635.1029,1,4
OffScreenDen_UI: -509.3848,514.4474,-147.6845,347.897,1,1
Connection: GATE_UW_UI,UI_A19,36,19,9,7,1,3
Connection: GATE_UI_UW,UI_D08,45,9,5,10,0,2
Connection: UI_D08,UI_S04,38,8,35,25,3,1
Connection: UI_D08,UI_E08,80,43,12,185,3,1
Connection: UI_E08,UI_D07,11,9,13,32,3,1
Connection: UI_D07,UI_AI,188,5,28,33,3,1
Connection: UI_L01,UI_AI,88,127,20,33,3,1
Connection: UI_L01,UI_E07,76,10,22,187,3,1
Connection: UI_E07,UI_E06,20,8,126,31,3,1
Connection: UI_E06,UI_D02,248,31,3,74,0,2
Connection: UI_E06,UI_I03,4,18,151,55,2,0
Connection: UI_E06,UI_C08,123,3,4,30,3,1
Connection: UI_C08,UI_A17,148,31,2,18,0,2
Connection: UI_A14,UI_LAB13,43,31,9,31,0,2
Connection: UI_A14,UI_LAB1,26,2,27,31,3,1
Connection: UI_LAB13,UI_A01,43,31,2,31,0,2
Connection: UI_A01,UI_LAB6,25,2,29,31,3,1
Connection: UI_D02,UI_LAB8,101,46,4,6,0,2
Connection: UI_LAB8,UI_LAB1,45,31,9,31,0,2
Connection: UI_LAB8,UI_LAB7,25,2,29,31,3,1
Connection: UI_LAB1,UI_LAB9,26,2,27,31,3,1
Connection: UI_LAB2,UI_LAB6,43,31,9,31,0,2
Connection: UI_LAB2,UI_LAB3,26,2,27,31,3,1
Connection: UI_LAB6,UI_LAB12,26,1,27,31,3,1
Connection: UI_A17,UI_LAB7,45,31,9,31,0,2
Connection: UI_A17,UI_E03,42,2,44,184,3,1
Connection: UI_E03,UI_C04,25,2,140,31,3,1
Connection: UI_LAB7,UI_LAB9,43,3,8,3,0,2
Connection: UI_LAB7,UI_LAB11,24,2,27,31,3,1
Connection: UI_LAB3,UI_LAB12,43,3,8,3,0,2
Connection: UI_LAB3,UI_LAB5,26,2,24,32,3,1
Connection: UI_LAB12,UI_LAB4,24,2,27,32,3,1
Connection: UI_LAB11,UI_LAB10,43,3,8,3,0,2
Connection: UI_LAB10,UI_LAB5,43,31,9,31,0,2
Connection: UI_LAB5,UI_LAB4,43,31,9,31,0,2
Connection: UI_LAB4,UI_E05,8,3,3,185,2,1
Connection: UI_E05,UI_D05,38,3,93,70,3,1
Connection: UI_I03,UI_C07,2,63,147,17,2,0
Connection: UI_I03,UI_A11,67,5,23,32,3,1
Connection: UI_C07,UI_C03,4,18,45,108,2,0
Connection: UI_C03,UI_B02,45,17,3,74,0,2
Connection: UI_C03,UI_A16,40,10,41,31,0,1
Connection: UI_B02,UI_S05,45,70,16,27,0,2
Connection: UI_B02,UI_E02,23,5,125,32,3,1
Connection: UI_A16,UI_A03,5,4,2,31,3,1
Connection: UI_A03,UI_A15,46,3,36,32,3,1
Connection: UI_A15,UI_E02,44,18,5,19,0,2
Connection: UI_A15,UI_C06,24,3,21,113,3,1
Connection: UI_E02,UI_D03,251,16,7,12,0,2
Connection: UI_E02,UI_A04,139,1,2,31,3,1
Connection: UI_A04,UI_B06,45,5,5,22,0,2
Connection: UI_B06,UI_D04,98,15,4,72,0,2
Connection: UI_A11,UI_D03,23,2,56,73,3,1
Connection: UI_D03,UI_D04,94,5,90,75,3,1
Connection: UI_D04,UI_C04,101,56,2,29,0,2
Connection: UI_D04,UI_B03,88,9,22,74,3,1
Connection: UI_C06,UI_H01,19,8,7,68,3,2
Connection: UI_H01,UI_F02,184,5,18,115,3,1
Connection: UI_F02,UI_S02,5,117,15,14,1,2
Connection: UI_F02,UI_E01,101,54,5,16,0,2
Connection: UI_F02,UI_F01,96,29,9,211,0,2
Connection: UI_B03,UI_E01,22,7,126,32,3,1
Connection: UI_E01,UI_E04,251,16,5,16,0,2
Connection: UI_E01,UI_I02,126,4,54,118,3,1
Connection: UI_F01,UI_C02,44,20,2,19,0,2
Connection: UI_C02,UI_I02,44,110,74,12,1,3
Connection: UI_I02,UI_A10,126,13,23,27,3,1
Connection: UI_A10,UI_B05,44,20,4,22,0,2
Connection: UI_A10,UI_A09,14,2,18,31,3,1
Connection: UI_A09,UI_B01,43,19,3,61,0,2
Connection: UI_B01,UI_A08,41,5,38,30,3,1
Connection: UI_A08,UI_A19,3,13,39,13,2,0
Connection: UI_A08,UI_S01,40,13,24,12,0,3
Connection: UI_B05,UI_D06,96,28,6,73,0,2
Connection: UI_D06,UI_A18,97,74,10,4,1,3
Connection: UI_A18,UI_F03,43,21,3,20,0,2
Connection: UI_F03,UI_B04,24,225,21,6,1,3
Connection: UI_B04,UI_S03,21,74,21,12,1,3
Connection: UI_B04,UI_A13,35,74,40,4,1,3
Connection: UI_B04,UI_E04,3,65,251,19,2,0
Connection: UI_B04,UI_D05,44,51,2,10,0,2
Connection: UI_A13,UI_D05,40,32,4,72,1,2
